frame,joint,x,y
0,right_elbow,600,276
0,left_elbow,697,272
0,right_knee,628,397
0,left_knee,665,395
0,right_shoulder,605,219
0,left_shoulder,682,215
0,right_hip,612,325
0,left_hip,677,325
0,right_wrist,600,326
0,left_wrist,679,320
10,right_elbow,607,150
10,left_elbow,705,144
10,right_knee,632,394
10,left_knee,671,395
10,right_shoulder,629,197
10,left_shoulder,690,195
10,right_hip,626,306
10,left_hip,684,307
10,right_wrist,616,81
10,left_wrist,694,76
20,right_elbow,568,184
20,left_elbow,742,181
20,right_knee,630,393
20,left_knee,673,392
20,right_shoulder,617,205
20,left_shoulder,693,205
20,right_hip,623,310
20,left_hip,681,307
20,right_wrist,512,154
20,left_wrist,784,145
30,right_elbow,560,215
30,left_elbow,740,212
30,right_knee,629,394
30,left_knee,669,395
30,right_shoulder,615,207
30,left_shoulder,694,205
30,right_hip,622,314
30,left_hip,680,312
30,right_wrist,512,212
30,left_wrist,797,200
40,right_elbow,607,272
40,left_elbow,698,273
40,right_knee,631,395
40,left_knee,672,393
40,right_shoulder,615,213
40,left_shoulder,695,210
40,right_hip,621,322
40,left_hip,681,322
40,right_wrist,592,324
40,left_wrist,695,327
50,right_elbow,605,143
50,left_elbow,701,139
50,right_knee,630,394
50,left_knee,674,394
50,right_shoulder,620,194
50,left_shoulder,690,194
50,right_hip,625,303
50,left_hip,680,302
50,right_wrist,610,77
50,left_wrist,687,75
60,right_elbow,558,203
60,left_elbow,750,196
60,right_knee,633,392
60,left_knee,673,393
60,right_shoulder,615,206
60,left_shoulder,697,200
60,right_hip,627,309
60,left_hip,680,308
60,right_wrist,510,202
60,left_wrist,804,183
70,right_elbow,609,271
70,left_elbow,702,270
70,right_knee,633,392
70,left_knee,673,395
70,right_shoulder,617,209
70,left_shoulder,698,209
70,right_hip,622,315
70,left_hip,685,314
70,right_wrist,598,324
70,left_wrist,700,321
80,right_elbow,611,141
80,left_elbow,705,138
80,right_knee,633,392
80,left_knee,673,393
80,right_shoulder,627,191
80,left_shoulder,687,190
80,right_hip,630,300
80,left_hip,680,302
80,right_wrist,612,71
80,left_wrist,694,68
90,right_elbow,617,268
90,left_elbow,703,269
90,right_knee,633,394
90,left_knee,674,392
90,right_shoulder,618,210
90,left_shoulder,700,210
90,right_hip,624,328
90,left_hip,687,325
90,right_wrist,619,317
90,left_wrist,690,315
