frame,joint,x,y
0,right_shoulder,299,588
0,left_shoulder,368,591
0,right_elbow,283,634
0,left_elbow,381,635
0,right_wrist,269,677
0,left_wrist,390,676
0,right_hip,309,684
0,left_hip,345,686
1,right_shoulder,299,588
1,left_shoulder,368,592
1,right_elbow,283,635
1,left_elbow,379,635
1,right_wrist,269,677
1,left_wrist,389,676
1,right_hip,309,684
1,left_hip,346,686
2,right_shoulder,299,588
2,left_shoulder,367,592
2,right_elbow,283,635
2,left_elbow,379,636
2,right_wrist,269,677
2,left_wrist,389,676
2,right_hip,310,684
2,left_hip,346,686
3,right_shoulder,299,588
3,left_shoulder,367,592
3,right_elbow,283,636
3,left_elbow,378,636
3,right_wrist,269,677
3,left_wrist,389,677
3,right_hip,310,684
3,left_hip,347,686
4,right_shoulder,299,588
4,left_shoulder,367,592
4,right_elbow,283,636
4,left_elbow,378,637
4,right_wrist,269,678
4,left_wrist,389,677
4,right_hip,310,684
4,left_hip,347,686
5,right_shoulder,300,589
5,left_shoulder,367,592
5,right_elbow,283,637
5,left_elbow,378,637
5,right_wrist,269,679
5,left_wrist,388,678
5,right_hip,310,684
5,left_hip,347,686
6,right_shoulder,300,589
6,left_shoulder,367,592
6,right_elbow,283,637
6,left_elbow,378,638
6,right_wrist,269,680
6,left_wrist,388,679
6,right_hip,310,684
6,left_hip,347,686
7,right_shoulder,300,590
7,left_shoulder,367,592
7,right_elbow,283,638
7,left_elbow,378,638
7,right_wrist,270,680
7,left_wrist,388,679
7,right_hip,310,685
7,left_hip,347,686
8,right_shoulder,300,590
8,left_shoulder,367,592
8,right_elbow,283,638
8,left_elbow,377,638
8,right_wrist,270,680
8,left_wrist,388,680
8,right_hip,310,685
8,left_hip,347,686
9,right_shoulder,300,590
9,left_shoulder,367,592
9,right_elbow,283,638
9,left_elbow,377,639
9,right_wrist,270,681
9,left_wrist,388,680
9,right_hip,310,685
9,left_hip,347,686
10,right_shoulder,300,590
10,left_shoulder,367,592
10,right_elbow,283,639
10,left_elbow,377,639
10,right_wrist,270,681
10,left_wrist,387,681
10,right_hip,310,685
10,left_hip,347,686
11,right_shoulder,300,590
11,left_shoulder,367,592
11,right_elbow,283,639
11,left_elbow,377,639
11,right_wrist,270,681
11,left_wrist,387,681
11,right_hip,311,685
11,left_hip,347,686
12,right_shoulder,300,590
12,left_shoulder,367,592
12,right_elbow,283,639
12,left_elbow,377,639
12,right_wrist,271,681
12,left_wrist,387,681
12,right_hip,311,685
12,left_hip,347,686
13,right_shoulder,300,591
13,left_shoulder,367,592
13,right_elbow,283,639
13,left_elbow,377,639
13,right_wrist,271,681
13,left_wrist,386,682
13,right_hip,311,685
13,left_hip,348,686
14,right_shoulder,300,591
14,left_shoulder,367,592
14,right_elbow,283,640
14,left_elbow,377,639
14,right_wrist,271,682
14,left_wrist,386,682
14,right_hip,311,686
14,left_hip,348,687
15,right_shoulder,300,591
15,left_shoulder,367,592
15,right_elbow,283,640
15,left_elbow,377,640
15,right_wrist,271,682
15,left_wrist,386,683
15,right_hip,311,686
15,left_hip,348,687
16,right_shoulder,300,591
