frame,joint,x,y
0,right_shoulder,735,1083
0,left_shoulder,916,1082
0,right_elbow,704,1241
0,left_elbow,945,1240
0,right_wrist,715,1384
0,left_wrist,927,1384
0,right_hip,764,1376
0,left_hip,867,1379
0,right_knee,770,1581
0,left_knee,873,1594
10,right_shoulder,735,1081
10,left_shoulder,916,1081
10,right_elbow,669,1202
10,left_elbow,958,1197
10,right_wrist,683,1280
10,left_wrist,957,1265
10,right_hip,764,1369
10,left_hip,867,1373
10,right_knee,770,1581
10,left_knee,873,1593
20,right_shoulder,736,1037
20,left_shoulder,902,1043
20,right_elbow,670,894
20,left_elbow,931,903
20,right_wrist,712,781
20,left_wrist,927,811
20,right_hip,762,1345
20,left_hip,866,1351
20,right_knee,770,1576
20,left_knee,869,1589
30,right_shoulder,735,1047
30,left_shoulder,904,1049
30,right_elbow,624,1039
30,left_elbow,995,1031
30,right_wrist,715,951
30,left_wrist,901,960
30,right_hip,760,1348
30,left_hip,865,1352
30,right_knee,767,1583
30,left_knee,866,1589
40,right_shoulder,721,1072
40,left_shoulder,904,1066
40,right_elbow,643,1177
40,left_elbow,978,1176
40,right_wrist,567,1234
40,left_wrist,1019,1245
40,right_hip,759,1364
40,left_hip,865,1368
40,right_knee,762,1591
40,left_knee,866,1596
50,right_shoulder,701,1064
50,left_shoulder,904,1063
50,right_elbow,558,1037
50,left_elbow,1042,1034
50,right_wrist,428,968
50,left_wrist,1163,952
50,right_hip,752,1364
50,left_hip,862,1368
50,right_knee,757,1589
50,left_knee,856,1596
60,right_shoulder,700,1084
60,left_shoulder,899,1084
60,right_elbow,641,1232
60,left_elbow,919,1231
60,right_wrist,636,1366
60,left_wrist,933,1364
60,right_hip,744,1373
60,left_hip,853,1373
60,right_knee,747,1601
60,left_knee,853,1598
70,right_shoulder,681,1094
70,left_shoulder,870,1091
70,right_elbow,640,1248
70,left_elbow,893,1239
70,right_wrist,655,1383
70,left_wrist,933,1360
70,right_hip,742,1372
70,left_hip,850,1351
70,right_knee,748,1589
70,left_knee,903,1400
80,right_shoulder,680,1098
80,left_shoulder,869,1096
80,right_elbow,642,1256
80,left_elbow,889,1256
80,right_wrist,667,1391
80,left_wrist,924,1388
80,right_hip,743,1391
80,left_hip,851,1372
80,right_knee,747,1597
80,left_knee,895,1479
90,right_shoulder,701,1100
90,left_shoulder,888,1100
90,right_elbow,681,1255
90,left_elbow,907,1257
90,right_wrist,685,1386
90,left_wrist,933,1391
90,right_hip,746,1390
90,left_hip,858,1386
90,right_knee,734,1587
90,left_knee,867,1567
100,right_shoulder,711,1105
100,left_shoulder,898,1104
100,right_elbow,684,1258
100,left_elbow,910,1263
100,right_wrist,677,1361
100,left_wrist,935,1401
100,right_hip,744,1368
100,left_hip,855,1384
100,right_knee,724,1321
100,left_knee,854,1600
110,right_shoulder,701,1102
110,left_shoulder,892,1107
110,right_elbow,679,1259
110,left_elbow,907,1266
110,right_wrist,675,1398
110,left_wrist,913,1406
110,right_hip,739,1392
110,left_hip,849,1398
110,right_knee,725,1566
110,left_knee,835,1616
120,right_shoulder,687,1108
120,left_shoulder,880,1112
120,right_elbow,670,1267
120,left_elbow,901,1271
120,right_wrist,674,1409
120,left_wrist,895,1409
120,right_hip,729,1397
120,left_hip,837,1402
120,right_knee,722,1600
120,left_knee,827,1627
