frame,joint,x,y
1,head,330,548
1,left_shoulder,359,591
1,right_shoulder,303,590
1,left_elbow,379,633
1,right_elbow,281,636
1,left_wrist,388,671
1,right_wrist,271,677
1,left_hip,346,683
1,right_hip,309,682
1,left_knee,344,761
1,right_knee,303,757
1,left_ankle,344,833
1,right_ankle,300,829

51,head,332,550
51,left_shoulder,367,587
51,right_shoulder,300,585
51,left_elbow,419,593
51,right_elbow,247,590
51,left_wrist,465,595
51,right_wrist,201,591
51,left_hip,347,682
51,right_hip,308,680
51,left_knee,345,761
51,right_knee,302,758
51,left_ankle,344,837
51,right_ankle,300,834
